TransactionID,CustomerID,Date,Amount,TransactionType,TransactionStatus,Currency,Location,Device,Reference Number
978,615,23-02-2023,8994.35,Transfer,Cancelled,INR,Alvareztown,Branch,c2942aca-149f-472d-bfa6-5469432adfff
1739,1809,08-05-2022,1366.35,Payment,Completed,INR,Amandabury,ATM,ba2483d4-9132-4bce-b088-056b5d6bad9e
294,1161,27-05-2022,3088.33,Deposit,Pending,EUR,Amandafurt,Online,68252b7d-ebda-4606-89f4-ebf5e04bfc1f
1336,1642,26-11-2023,7491.88,Withdrawal,Cancelled,USD,Amandafurt,Online,b1109d98-4c53-4611-b091-542c28d27a90
1212,1074,01-12-2022,5442.7,Transfer,Cancelled,USD,Amandamouth,Online,752d76e4-75f5-48e4-b358-1bb94c44d55a
1471,255,16-06-2022,7118.43,Withdrawal,Pending,USD,Amberbury,Online,cb9f6edb-401c-478f-b5e1-d14258c3e519
1259,994,27-09-2023,3176.5,Withdrawal,Completed,EUR,Amybury,Branch,84a1baaa-4697-43ed-8b85-f5af53a322dc
204,1900,20-09-2022,3371.57,Payment,Completed,EUR,Amyfort,ATM,d48497bc-1292-4574-9396-aeb7aa473dd5
1597,502,16-04-2022,6035.72,Deposit,Cancelled,EUR,Amymouth,ATM,0d33dde4-f86f-4545-a5c1-f72ffa909878
1293,1449,07-12-2023,3235.97,Deposit,Completed,GBP,Amyshire,ATM,4d4cba26-1ef7-4a11-b32b-2cb6750b720e
186,1782,16-03-2022,1166.08,Deposit,Completed,EUR,Andersonburgh,Branch,cb730d5f-7e1d-4898-9ab3-64e0f0399d6a
275,528,28-10-2023,3021.69,Deposit,Completed,USD,Andersonchester,Branch,f4b43c35-25d3-4721-b67c-458126301c22
3,801,20-08-2022,2702.5,Payment,Pending,USD,Andersonhaven,ATM,ca36e0ea-f78b-4eaa-aca5-c65f3eea2f8b
950,1779,01-08-2023,5455.29,Transfer,Completed,USD,Andersonstad,ATM,8c23d579-cafe-4913-860f-f51c23ad0676
1490,202,12-08-2023,5733.56,Deposit,Completed,EUR,Andreamouth,ATM,e115560d-dd94-4d27-823e-e23d3ee95e19
1987,350,05-08-2022,9807.41,Transfer,Pending,USD,Andreatown,Online,ac6e568f-130c-4d95-ab3b-e17be699d630
1026,83,16-12-2023,7561.95,Payment,Cancelled,USD,Andrechester,ATM,f75678f8-c30e-4ed0-b343-54e4b9d24a8e
1389,1712,21-06-2022,7764.88,Transfer,Cancelled,USD,Andrewstad,Branch,13d85103-274f-48b9-a72f-8b15e3d86f74
189,1072,28-02-2022,6905.52,Transfer,Completed,GBP,Angelaborough,Online,2047cd25-6953-46eb-aff1-97b9e5142e86
621,503,04-02-2023,5715.81,Transfer,Cancelled,EUR,Angelaborough,Online,08769f27-7214-4c31-bf9b-eefa11177f37
1895,1524,13-03-2022,8187.93,Deposit,Cancelled,GBP,Angelaborough,Branch,eefb8ca6-9e90-478a-91ce-0c32805506df
1794,1660,22-12-2022,1907.6,Transfer,Pending,EUR,Angelberg,Branch,72650d5e-c98e-473d-8b82-9c67611b1b5c
1881,722,16-08-2022,6688.91,Payment,Pending,INR,Angelicamouth,Online,03f9d6d1-0c01-4229-a4f9-d19c60f6bf1a
845,903,24-10-2022,4643.06,Withdrawal,Pending,EUR,Anitaton,ATM,4c7a376a-1228-46e5-9a16-dc489880c8db
245,1533,27-12-2023,3195.62,Withdrawal,Completed,INR,Annaberg,ATM,3e27d4ec-c9c4-425f-8bdc-861017e02e65
1499,1544,13-11-2023,1068.29,Withdrawal,Cancelled,EUR,Anneside,Online,1ecba3ab-ac0e-4608-a3e5-a3fbb5e5c88b
1091,1888,01-01-2024,9391.82,Transfer,Completed,USD,Anntown,Online,b1de1df0-a601-48c9-ad34-d260f99daa0e
1593,1634,30-11-2023,4418.14,Payment,Cancelled,USD,Annville,Branch,54a416f3-baac-467e-aaea-fd447d6ea464
1872,1272,27-01-2022,6926.71,Deposit,Pending,GBP,Anthonyfurt,Online,f72859b8-849b-434c-966c-3678accb50b6
557,337,14-05-2022,6397.34,Deposit,Cancelled,INR,Anthonyview,ATM,67f40851-df70-4dbc-a147-76511af2e12c
1970,122,21-02-2022,2933.95,Payment,Completed,USD,Aprilhaven,Online,cd6c8e4b-d310-47e1-b274-360017c6c6b7
739,505,04-02-2023,4780.57,Payment,Cancelled,INR,Aprilview,Online,91e1283f-afca-46d8-bf6d-c2e89a052e3b
755,1767,02-05-2022,6515.65,Deposit,Cancelled,INR,Archermouth,Branch,96dd894b-9761-4e02-b625-2fe5a376e3df
367,1728,27-05-2022,7282.42,Deposit,Pending,USD,Armstrongborough,Branch,dd15aca6-c4f1-4eb5-9fa2-7527df6988b7
1900,923,16-07-2023,1227.6,Withdrawal,Pending,GBP,Ashleechester,ATM,5ed85629-8dbb-4fa5-9f11-14ef603c0ede
1909,436,02-09-2023,1529.4,Payment,Pending,INR,Ashleyfort,ATM,70458193-c4f5-4e8f-845b-a25d7c38a883
33,39,25-04-2022,3793.52,Transfer,Completed,GBP,Ashleystad,Branch,d5d78268-0acf-42c8-b668-7f7a5f2d990e
539,116,11-12-2022,2665.59,Withdrawal,Cancelled,USD,Atkinsmouth,Branch,e3ed1e5d-4d88-490e-a2e3-44d225bf4d31
1735,985,28-02-2022,1949.33,Payment,Pending,EUR,Audreyshire,Online,962974ed-0bd2-4e85-bca3-206b86666699
267,1442,06-08-2022,3116.18,Deposit,Pending,INR,Autumnstad,ATM,15d34e44-415b-459c-b6d8-b0a23d0a5b78
242,37,06-09-2023,6590.71,Transfer,Completed,INR,Baileyborough,Online,6d33ef60-52f5-4579-a25e-a9e31a6c4143
1255,1263,21-03-2023,8891.05,Deposit,Cancelled,INR,Bakerberg,Online,40b1ee53-819a-4bac-b510-6b0e26c25d4e
1958,458,12-09-2023,1611.23,Withdrawal,Pending,EUR,Baldwinmouth,Branch,c300319d-63f3-4f07-a455-c1a7d25166b8
649,272,10-01-2024,6053.24,Payment,Pending,INR,Ballardburgh,ATM,da79bc69-5ca5-4220-b643-e4b5bcb94448
1541,1705,09-11-2022,5389.03,Deposit,Completed,GBP,Ballview,ATM,26b34a8d-15d4-4f91-959d-9bd757e4b106
185,59,22-05-2022,5056.29,Deposit,Completed,EUR,Banksfort,Online,67d3a8d1-f33a-4aa0-82f0-bb173e6b4fe8
343,1873,01-04-2022,9716.03,Payment,Pending,USD,Barnesstad,Online,381a26f0-c2f1-44c8-ac19-f97a9cb40d6e
1646,582,13-01-2023,5773.71,Transfer,Completed,USD,Barreraview,ATM,f0617209-b185-4964-ace1-3dfcc64e9361
170,1035,09-12-2023,8692.6,Transfer,Pending,EUR,Barronport,Branch,ed83a5b5-c395-43cf-afca-47f3014f0bfa
298,1666,12-02-2023,3974.75,Payment,Completed,USD,Bassburgh,ATM,1ca61be5-9007-460f-8180-51234009737c
1722,359,30-08-2022,9310.11,Payment,Cancelled,GBP,Beardmouth,ATM,eee42b25-b46d-4673-a792-6d17a2ef8c40
808,1960,18-03-2022,9606.7,Transfer,Pending,USD,Bellchester,Online,fe05013d-28cb-4ac6-b3a0-b956502f7020
820,1489,12-05-2022,6597.98,Deposit,Cancelled,GBP,Benderberg,Branch,67fa0e46-b91b-4480-9602-94cc9e1424b6
1788,1266,07-03-2022,1572.53,Payment,Completed,EUR,Benitezland,ATM,3a2e3d33-e4cd-440e-9f82-cb3fcfda9e49
835,973,21-11-2023,9370.15,Transfer,Completed,INR,Benjaminborough,Online,4ba809df-c4dd-4dd6-a6dd-42ce108705a4
407,898,06-11-2022,6233.56,Withdrawal,Completed,GBP,Benjaminburgh,Branch,238e8afc-a7c4-45e3-9cfa-fdb36e698d17
983,539,21-09-2022,3927.66,Payment,Pending,EUR,Benjaminburgh,ATM,93e80a9d-3078-4bbf-a2ae-0fa6d16e0fc9
839,1607,22-06-2023,3693.97,Payment,Completed,INR,Benjaminfurt,ATM,795aba1d-dcfd-4e84-83dc-363270b8e130
779,506,22-05-2022,5426.47,Withdrawal,Pending,EUR,Benjaminview,Online,e5ef5be9-206e-4e38-981c-04ccb9f7e26d
618,1520,07-08-2022,8726.22,Deposit,Pending,GBP,Bentonmouth,ATM,7f434008-db72-4cd8-82d7-3e1ace2564ff
364,776,13-05-2022,218.56,Withdrawal,Cancelled,USD,Berryburgh,ATM,8ee728a1-e99e-49ee-bf3f-f1c954afdd19
1312,1696,16-09-2023,6153.16,Payment,Cancelled,GBP,Bethanystad,Branch,9e7946c4-7c80-43cb-9c90-ddc3f9837da4
1677,1885,17-10-2022,1194.3,Transfer,Pending,GBP,Bettyport,ATM,27614c37-809e-4ebf-a9e9-8d385c87a204
544,1695,06-07-2022,5575.11,Transfer,Cancelled,USD,Beverlymouth,Branch,7b4ed45a-5220-4614-a505-6078711fd462
1106,1836,10-08-2023,464.56,Transfer,Completed,EUR,Biancaside,ATM,3fbb9ca1-c56b-4757-b2bb-f4102384f1e8
1417,1931,05-11-2023,2076.42,Withdrawal,Pending,INR,Birdtown,Branch,77a45945-ec8f-468a-9fbf-3c61b203f009
290,1220,16-05-2022,4006.66,Transfer,Cancelled,GBP,Bishopton,Online,29788b68-2f39-4f1e-8edf-82be3f034f00
624,1501,14-04-2022,9474.11,Transfer,Cancelled,EUR,Blackberg,ATM,5f51c445-af4d-4aad-bf86-52eb203dda78
1699,891,25-06-2022,3142.6,Payment,Pending,USD,Blackstad,Branch,a5352f4f-1bab-479c-8c4a-eb0fbfa8e528
479,419,07-04-2022,8206.68,Transfer,Cancelled,INR,Blairchester,Branch,69023cfd-96cf-43c6-afba-f6d071855298
25,1590,26-06-2023,9977.38,Transfer,Cancelled,GBP,Blanchardtown,ATM,9373f120-d1a8-4f80-86c6-f7c7ec2852df
873,1034,03-02-2023,7829.33,Deposit,Completed,INR,Bobbymouth,Branch,0f122162-dd06-4ff5-acf9-8ae5834c2103
124,225,30-09-2023,1531.26,Payment,Pending,EUR,Boydhaven,ATM,c62d8855-fac9-4576-a204-0759b486d0c3
371,1902,28-02-2022,5481.76,Transfer,Cancelled,USD,Bradleybury,ATM,227d971f-cd08-4e33-9d85-c89ce72425c6
423,923,04-02-2022,8013.09,Transfer,Pending,USD,Bradleyport,Branch,b848d00c-4353-4fad-beaf-7035ebfe4d7c
1586,1206,23-11-2023,3456.68,Transfer,Completed,USD,Bradleyshire,ATM,d46fecf1-cef4-41b4-a953-8f9e1b78fa53
513,1632,17-12-2023,2269,Deposit,Completed,INR,Bradshawborough,Online,47da36b1-4e62-4836-a6a0-553a6d9872dd
709,1163,09-05-2023,7213.46,Withdrawal,Pending,INR,Bradyview,Branch,6caaccb5-263f-444f-b51b-e48803becb16
1692,899,06-05-2023,7999.18,Transfer,Cancelled,GBP,Brandonbury,Branch,2b403dfc-aaea-4417-8726-95f588bb8391
583,788,03-12-2022,3654.73,Transfer,Cancelled,INR,Brandonchester,Branch,5b3d678c-d050-4f5c-a8c9-a6e00309aaf0
1548,1825,02-06-2022,1878.67,Deposit,Completed,GBP,Brandonside,Branch,724deb64-2e7d-4a76-ba34-35fd15af233e
1287,1209,29-11-2022,6659.03,Payment,Cancelled,EUR,Brandonville,Online,ec862339-d9e9-48df-851c-3a8faf595e2c
1896,278,05-09-2023,7775.12,Withdrawal,Pending,EUR,Brandtfurt,ATM,e9b86e6d-5922-4bab-8987-624cba471d23
1009,1879,01-06-2022,549.28,Transfer,Cancelled,EUR,Brandychester,Online,8662b1ed-633f-4820-958b-75fefc2e177f
1149,1376,05-03-2022,7649.84,Deposit,Cancelled,GBP,Brendafort,Online,e971b32c-2ff9-46e2-9a5c-19fa78ef12ef
952,829,08-04-2022,1554.47,Withdrawal,Cancelled,EUR,Brendanbury,Branch,1dcaf9c9-7671-454b-9827-89637c29a6cd
169,1399,08-08-2022,5442.59,Payment,Pending,INR,Brentmouth,Online,88603763-90f3-4948-a1b7-1117d7f931a8
1377,1840,04-03-2023,7194.78,Payment,Pending,USD,Brewerville,Online,9ac5b90d-bbe2-47bc-b93c-307e0dc6af2f
1682,1559,06-07-2023,1259.08,Payment,Pending,USD,Brianhaven,Online,31d2be0b-cd54-4383-b561-6f93ed0abde9
68,441,10-10-2022,9508.08,Transfer,Pending,EUR,Brianmouth,Branch,7f6b83e7-e634-47af-8d09-a4e86a60545d
641,1122,19-11-2023,6740.81,Transfer,Completed,GBP,Brianstad,ATM,c95db1b4-a77d-4c83-bf42-d301035ce344
1008,1856,24-07-2023,5670.73,Payment,Pending,EUR,Brittanyville,ATM,9de3359e-2dc6-422a-b912-ec8753dcdc8b
1495,1479,04-08-2023,2967.62,Transfer,Completed,USD,Brittneyhaven,Branch,1da5631d-6fbb-4d2f-8122-eb3d83e74769
433,1944,02-05-2022,1012.65,Payment,Completed,INR,Brookehaven,Branch,6be5393d-eac1-4f1f-ae08-422a8e29b898
1148,462,18-10-2023,8555.11,Transfer,Pending,INR,Brownberg,Branch,5593209a-60dd-4b81-9ce8-d8900fb5f59a
1849,943,10-09-2023,8004.33,Transfer,Completed,INR,Brownborough,ATM,eca99603-8e39-4c12-8600-489c11e9d653
721,772,31-10-2022,3756.13,Payment,Pending,EUR,Brownhaven,ATM,495b3321-618c-447b-852c-4d3026cebbf7
1301,94,26-03-2023,2362.88,Deposit,Completed,INR,Brownmouth,Branch,db442c00-3984-46f8-98d8-9fa4c3d308b7
620,508,23-01-2024,3545.41,Withdrawal,Completed,USD,Browntown,ATM,43d8d73f-24d3-4939-881a-40a7baee51a6
1294,1210,19-03-2023,3857.14,Transfer,Pending,USD,Browntown,Branch,e37eb32b-0b56-4a1a-953d-614c2f3be1a8
1299,662,13-03-2022,8373.58,Deposit,Pending,EUR,Brownview,ATM,ed896dbf-45ab-4a50-ad1d-99c9c12470db
1216,460,31-01-2022,8716.72,Withdrawal,Completed,USD,Bryanbury,Online,f5957007-925b-407b-b170-951e4053f268
157,550,25-03-2022,7774.42,Deposit,Pending,USD,Bryantberg,ATM,f53b5ad9-1ab5-49f2-8eeb-cbe268246c6c
1462,385,28-05-2022,7848.65,Withdrawal,Completed,USD,Bryantfurt,Online,dd3c640e-3a08-4114-800d-8dae3a53b81a
1813,340,22-01-2023,5853.65,Transfer,Cancelled,GBP,Bryanview,ATM,0969ea9b-496e-45c0-b0b7-7182031bfd66
1877,1359,04-02-2023,9755.22,Deposit,Completed,EUR,Buckfurt,Online,624c21cc-fc5f-4274-bb66-cae679c4f402
1522,1837,27-07-2023,3733.78,Payment,Completed,EUR,Burkeberg,Online,9421225e-55f9-4472-9ab3-6775d00aff4a
1342,1512,27-05-2023,416.24,Transfer,Completed,INR,Burkeville,ATM,ca90bf3d-64a0-45c9-9ba7-50048802e3c1
532,1376,16-04-2023,1257.82,Transfer,Completed,EUR,Bushville,Branch,fc07606e-dd84-49b7-8e7b-98b45d03631b
4,586,25-07-2023,2602.87,Payment,Completed,EUR,Butlerton,ATM,f68d7dc9-833f-48c7-8317-2e1ecfd87876
617,576,20-04-2023,9338.89,Payment,Completed,GBP,Butlerville,Branch,cef2c116-9a77-4361-b771-ac9f11edd22e
505,905,10-11-2023,417.69,Payment,Completed,INR,Callahanfort,ATM,731f6c2d-c2d1-4dc4-9407-73c60c2b57ae
1185,1030,21-11-2022,5514.22,Transfer,Cancelled,GBP,Cameronview,Online,6667a4aa-dbe3-4637-9ef6-7401cf4dddd4
1635,1299,13-07-2022,8557.18,Transfer,Completed,GBP,Campbellbury,Online,2a57738d-cfbd-4949-93bc-eb78fbb0ea4b
1792,727,23-12-2023,3908.99,Payment,Completed,GBP,Campbelltown,ATM,fcfa4e2b-a973-4754-b414-19950ceed7bf
758,987,27-09-2022,1231.75,Transfer,Completed,USD,Cantrellberg,Online,492837c5-7f8b-4709-aa25-83c553749500
553,1578,09-05-2022,8183.64,Deposit,Pending,INR,Careyshire,Online,ddc052f9-4703-4924-ad29-05c9c32b927f
1472,1578,19-09-2022,4704.28,Transfer,Pending,EUR,Carlosland,Online,313cddac-972d-4ab1-81d2-bc14f9126900
679,1939,06-03-2023,7414.19,Payment,Pending,GBP,Carpenterburgh,Online,18c3101e-d039-4bd9-9a4a-643b9ac7f1bf
1777,1876,20-04-2023,6125.21,Transfer,Completed,GBP,Carpenterport,ATM,a5d08041-e0ee-473e-896e-e9e09ef4246b
707,535,01-07-2022,1239.43,Transfer,Completed,INR,Carpenterton,Online,2d57ff6e-4667-47b5-a7ad-18ccfc38a57c
851,412,08-03-2022,3922.01,Deposit,Pending,INR,Carpenterville,Online,b387b181-e11e-40ed-91e8-02fca37ec049
980,768,06-01-2023,1509.2,Withdrawal,Pending,GBP,Carrollton,Branch,c0c7fe82-b8bc-4742-92a0-bb69cef6dd7f
1155,1911,09-11-2023,592.65,Transfer,Cancelled,GBP,Carsonland,Online,ab885385-6037-4431-a65c-ec8b0b4117bb
239,1162,18-03-2023,4232.75,Transfer,Completed,GBP,Carterland,ATM,d8dcc9dc-48e8-46ca-a37a-53f5f1325a8e
1300,986,18-07-2023,2170.33,Payment,Completed,USD,Caseberg,ATM,693e7ddf-0c71-410f-8045-ac456352022d
485,1408,29-08-2022,9424.62,Transfer,Completed,INR,Chadmouth,Online,ca2056c4-cc2b-4719-b704-b3c026168b0c
1374,491,03-12-2022,8245.48,Transfer,Pending,EUR,Chadmouth,ATM,5dd25d9d-835e-4d0b-b7f4-ef161474b7c1
1493,1915,08-08-2023,4801.66,Payment,Pending,EUR,Chantown,Branch,7f271c20-c734-4f6f-8be7-232c8903fa40
356,319,10-11-2023,2157.49,Transfer,Pending,GBP,Charlesfurt,Online,c90c1ad3-ddc6-46e5-95ea-0523df4f3561
1096,1033,27-03-2022,9552.72,Payment,Pending,INR,Charlesside,Online,4f209454-1d6f-40a1-a77a-c993cfa9c501
1566,1841,10-03-2023,3572.36,Withdrawal,Completed,INR,Chaseport,Online,1a9bab5d-36f8-4aeb-b270-b257fe88504c
1115,1161,22-10-2022,4730.22,Withdrawal,Completed,USD,Chaseshire,Online,c0d0ff33-34fc-46b3-98ae-08e9bffa15ba
55,254,01-01-2024,2025.41,Deposit,Cancelled,INR,Chasestad,Online,96ff613b-e713-4bc4-9e02-506b113017d5
631,1145,30-05-2023,7959.59,Deposit,Cancelled,INR,Cheryltown,Online,9c69c9da-1972-4670-812b-ef714dc42d53
1075,403,13-07-2023,5820.74,Withdrawal,Cancelled,USD,Choifurt,Branch,c3eedd18-182b-44f4-b2d0-4565efc498ab
1951,1915,30-05-2023,2367.04,Deposit,Pending,USD,Christinamouth,ATM,1ffdb5dc-aae5-48e3-9a6a-b1e10d936251
217,322,09-09-2022,256.67,Transfer,Cancelled,EUR,Christopherchester,Online,f2a8622c-4c8b-422e-ae3b-32ebc48675b7
1313,1660,09-09-2023,3677.6,Transfer,Cancelled,INR,Christopherchester,ATM,d66d7440-a754-46cd-a1f8-a63d83d570a1
577,524,15-07-2023,4777.52,Deposit,Pending,USD,Christopherfort,Branch,0d976875-beb9-44d7-9dc5-faa19cbfc1cd
1116,8,29-12-2022,601.55,Deposit,Cancelled,USD,Christopherfort,Online,7025b1e6-ab70-4ff9-bb68-aa955f577097
884,1618,24-04-2022,4187.97,Transfer,Cancelled,EUR,Christophermouth,Branch,42a2934b-7a57-47eb-acb4-9d9429d1a8f5
1864,1942,08-03-2023,5377.19,Withdrawal,Pending,GBP,Christophershire,ATM,af5ad6c2-4204-452e-a09a-40404f6a573e
1755,948,16-01-2023,8071.06,Withdrawal,Cancelled,INR,Christopherside,ATM,c8f838ce-30d9-4145-8800-7b3acb699647
655,498,31-08-2022,8516.16,Payment,Cancelled,INR,Christopherton,ATM,3edeeaba-5583-47ec-8f86-375d43886c5a
563,79,03-10-2022,3620.99,Withdrawal,Cancelled,EUR,Cindychester,ATM,1f8d853d-e979-41d8-95e1-de8afe3db131
439,1570,30-05-2023,8843.57,Payment,Pending,USD,Clarkborough,ATM,ca572e73-1b01-4857-925e-6bd8a991e044
1642,1469,14-10-2023,3895.3,Transfer,Completed,GBP,Clarkburgh,Online,a0b5a816-05d6-41d6-8d65-85ec0fd5cf24
1108,1802,12-12-2022,8025.17,Payment,Completed,INR,Clarkfurt,Branch,38203602-e7be-416c-a290-794f445f0eb7
1360,1160,19-08-2023,4301.25,Withdrawal,Pending,USD,Clarkmouth,Online,5afbd521-ec09-4e5c-b651-ccc216869a18
848,1240,21-02-2023,3617.27,Transfer,Completed,USD,Clarkshire,ATM,ada0e992-ef69-4daa-8151-71c55e918f5b
999,1599,16-06-2022,1843.2,Withdrawal,Completed,GBP,Codyberg,Online,cb6fea26-0a82-40aa-9bc2-53469e250d50
1278,1266,12-04-2022,6239.89,Deposit,Cancelled,INR,Codyhaven,Online,131c7ca6-0214-49f6-ae9b-99aa6780c7c5
979,1826,06-11-2023,3824.92,Payment,Completed,USD,Cohentown,Branch,341f105b-1de4-49fe-986a-aaebf4863c8f
469,1392,01-01-2023,5969,Withdrawal,Pending,INR,Colemanborough,Online,1111d14c-e59b-48f1-bb19-f73acb23809f
1459,1806,17-07-2022,6222.38,Transfer,Pending,USD,Coleville,Branch,72c022b6-09fb-4b5f-8243-4665f2c7f59b
225,1181,13-03-2023,7558.02,Payment,Pending,INR,Colinbury,ATM,bf2ec633-d6b9-4fdb-be31-306015fdb689
434,85,22-02-2023,938.69,Withdrawal,Cancelled,GBP,Collierberg,Online,15e7441f-dfda-4e09-bb0f-5bf52dae458c
176,488,15-08-2022,1590.72,Transfer,Pending,EUR,Collierville,Online,2137b738-abc5-4f9f-a401-3f341d0206ae
1403,1590,09-01-2023,4348.52,Transfer,Pending,EUR,Collinschester,Online,8ec9d024-e3e6-41fb-8f0c-6d50ef79ad1a
1461,88,22-05-2023,8856.2,Payment,Cancelled,GBP,Conniefurt,ATM,9b61fd10-bf16-4a79-bbe1-051f59cedc98
1069,1551,22-10-2022,922.51,Payment,Completed,EUR,Contrerasborough,Branch,15641b48-3df1-4645-a6ba-e861509ffe33
1411,1849,21-02-2022,5618.89,Payment,Cancelled,GBP,Cookeshire,ATM,883c324a-b679-4a1d-8434-11af99c3d46e
1855,1005,27-01-2022,9511.07,Transfer,Cancelled,EUR,Cortezhaven,ATM,ad34bfa0-7e9a-41b0-8929-2262713de3af
1510,389,03-02-2023,553.73,Transfer,Completed,GBP,Courtneyview,Online,53515fa8-91f5-4d7e-8dbd-ac2719fa00ea
613,1292,23-10-2023,5004.93,Payment,Completed,GBP,Craneshire,Online,1fa7d3ab-cc99-473e-9421-488d725c3c22
797,27,26-12-2023,409.01,Withdrawal,Completed,INR,Cruzberg,Branch,ce51db0b-2c4b-4401-b3ee-cc50eb30362a
1188,1339,25-08-2022,7856.73,Deposit,Cancelled,USD,Cruzview,Branch,c55aa433-01ff-4ed8-a637-0556dc77664b
1727,965,12-04-2022,7862.79,Withdrawal,Cancelled,INR,Crystalview,Branch,8c8e4a23-6052-42f3-89bd-074b363f946e
1799,428,06-06-2023,3640.55,Transfer,Pending,USD,Crystalville,Branch,ce7d7daa-bfbd-40c2-83e3-b4ef3a14aed8
1899,1889,15-03-2023,1533.94,Transfer,Cancelled,INR,Cynthiamouth,Online,e4fe2bc5-d574-4772-a122-866b365c03ba
581,196,21-04-2023,2913.17,Transfer,Cancelled,USD,Cynthiaport,Online,6cea66ca-dfb8-4204-8357-7428f963955d
338,1466,20-05-2022,9414.14,Deposit,Pending,INR,Danabury,Branch,400f3b85-572a-4354-93f8-36acc03ec6c6
1381,68,17-04-2023,8114.57,Transfer,Completed,INR,Danaville,Branch,0a05e62c-f957-4ea3-8e32-64102f6d72d1
1723,770,19-11-2022,2883.12,Deposit,Pending,USD,Danielberg,ATM,8a010a9e-e4c5-41b4-a10e-51f64ef66ec8
659,1571,06-04-2023,6004.4,Deposit,Cancelled,EUR,Danielbury,ATM,76cf2971-e492-48d6-a719-4929f0e3f1f5
778,933,25-07-2023,1659.29,Withdrawal,Cancelled,GBP,Danielfort,ATM,8a4ccbe5-a8ee-4b8d-840e-2d7b395f5163
339,416,24-04-2022,5652.91,Payment,Cancelled,EUR,Danielleton,ATM,2c281028-2e7c-4c09-8094-d625de32feb5
1039,243,04-09-2023,8636.74,Withdrawal,Completed,USD,Danielport,ATM,d2f32d26-3f1b-4d0d-8eff-8abb1e66d2ad
574,839,16-08-2023,8537.3,Deposit,Pending,USD,Danielshire,Branch,398d2375-98a4-4de6-8522-612633d7b25a
546,1960,09-03-2022,8987.65,Withdrawal,Completed,EUR,Danielstad,ATM,9b788b53-5359-4d63-991c-3c7a8698ce1c
1693,94,25-04-2022,7411.69,Withdrawal,Completed,GBP,Danielsview,Online,e8d144e8-8e2a-4e0e-8c9f-0af66098f1f3
